synonym_key,canonical_key,confidence
"5-htp","5-htp","exact_match"
"alpha lipoic acid","alpha lipoic acid","exact_match"
"ashwagandha","ashwagandha","exact_match"
"biotin","biotin","exact_match"
"caffeine","caffeine","known_mapping"
"chondroitin","chondroitin","exact_match"
"chromium","chromium","known_mapping"
"collagen","collagen","exact_match"
"copper","copper","known_mapping"
"coq10","coenzyme q10 (coq10)","known_mapping"
"creatine monohydrate","creatine monohydrate","exact_match"
"curcumin","turmeric (curcumin)","known_mapping"
"echinacea","echinacea","known_mapping"
"fiber","fiber","known_mapping"
"fish oil","fish oil (omega-3)","known_mapping"
"folic acid","folic acid","exact_match"
"garlic","garlic","known_mapping"
"ginger","ginger","known_mapping"
"ginseng","ginseng","exact_match"
"glucosamine","glucosamine","known_mapping"
"green tea extract","green tea extract","known_mapping"
"iodine","iodine","known_mapping"
"l-theanine","l-theanine","known_mapping"
"manganese","manganese","known_mapping"
"melatonin","melatonin","known_mapping"
"molybdenum","molybdenum","known_mapping"
"niacin","niacin","exact_match"
"omega-3","fish oil (omega-3)","known_mapping"
"potassium","potassium","known_mapping"
"prebiotics","prebiotics","known_mapping"
"probiotics","probiotics","known_mapping"
"quercetin","quercetin","known_mapping"
"resveratrol","resveratrol","known_mapping"
"rhodiola","rhodiola","exact_match"
"riboflavin","riboflavin","exact_match"
"same","same","exact_match"
"selenium","selenium","known_mapping"
"thiamine","thiamine","exact_match"
"turmeric","turmeric (curcumin)","known_mapping"
"valerian root","valerian root","known_mapping"
"vitamin b12","vitamin b12","exact_match"
"vitamin c","vitamin c","exact_match"
"vitamin e","vitamin e","exact_match"
"vitamin k","vitamin k","known_mapping"
"whey protein","whey protein","known_mapping"
"zinc","zinc","known_mapping"